Compound	Compound.Name	High.Confidence.Annotation	HMDB	KEGG
REV_POS_C42:0 TAG +NH4	C42:0 TAG +NH4	TRUE	NA	NA
REV_POS_C44:0 TAG	C44:0 TAG	TRUE	NA	NA
REV_POS_C44:0 TAG +NH4	C44:0 TAG +NH4	TRUE	NA	NA
REV_POS_C44:1 TAG	C44:1 TAG	TRUE	NA	NA
REV_POS_C44:2 TAG	C44:2 TAG	TRUE	NA	NA
REV_POS_C46:0 TAG	C46:0 TAG	TRUE	NA	NA
REV_POS_C46:0 TAG +NH4	C46:0 TAG +NH4	TRUE	NA	NA
REV_POS_C46:1 TAG	C46:1 TAG	TRUE	NA	NA
REV_POS_C46:1 TAG +NH4	C46:1 TAG +NH4	TRUE	NA	NA
REV_POS_C47:0 TAG	C47:0 TAG	TRUE	NA	NA
REV_POS_C48:0 TAG	C48:0 TAG	TRUE	NA	NA
REV_POS_C48:0 TAG +NH4	C48:0 TAG +NH4	TRUE	NA	NA
REV_POS_C48:1 TAG	C48:1 TAG	TRUE	NA	NA
REV_POS_C48:1 TAG +NH4	C48:1 TAG +NH4	TRUE	NA	NA
REV_POS_C48:2 TAG	C48:2 TAG	TRUE	NA	NA
REV_POS_C48:2 TAG +NH4	C48:2 TAG +NH4	TRUE	NA	NA
REV_POS_C48:3 TAG	C48:3 TAG	TRUE	NA	NA
REV_POS_C48:3 TAG +NH4	C48:3 TAG +NH4	TRUE	NA	NA
HILIC_POS_C5-DC carnitine	C5-DC carnitine	TRUE	NA	NA
HILIC_POS_C5 carnitine	C5 carnitine	TRUE	NA	NA
HILIC_POS_C5:1 carnitine	C5:1 carnitine	TRUE	NA	NA
REV_POS_C50:0 TAG	C50:0 TAG	TRUE	NA	NA
REV_POS_C50:0 TAG +NH4	C50:0 TAG +NH4	TRUE	NA	NA
REV_POS_C50:1 TAG	C50:1 TAG	TRUE	NA	NA
REV_POS_C50:2 TAG	C50:2 TAG	TRUE	NA	NA
REV_POS_C50:2 TAG +NH4	C50:2 TAG +NH4	TRUE	NA	NA
REV_POS_C50:3 TAG	C50:3 TAG	TRUE	NA	NA
REV_POS_C50:3 TAG +NH4	C50:3 TAG +NH4	TRUE	NA	NA
REV_POS_C50:4 TAG	C50:4 TAG	TRUE	NA	NA
REV_POS_C50:4 TAG +NH4	C50:4 TAG +NH4	TRUE	NA	NA
REV_POS_C51:2 TAG	C51:2 TAG	TRUE	NA	NA
REV_POS_C51:2 TAG +NH4	C51:2 TAG +NH4	TRUE	NA	NA
REV_POS_C51:3 TAG	C51:3 TAG	TRUE	NA	NA
REV_POS_C51:3 TAG +NH4	C51:3 TAG +NH4	TRUE	NA	NA
REV_POS_C52:0 TAG	C52:0 TAG	TRUE	NA	NA
REV_POS_C52:0 TAG +NH4	C52:0 TAG +NH4	TRUE	NA	NA
REV_POS_C52:1 TAG	C52:1 TAG	TRUE	NA	NA
REV_POS_C52:2 TAG	C52:2 TAG	TRUE	NA	NA
REV_POS_C52:2 TAG +NH4	C52:2 TAG +NH4	TRUE	NA	NA
REV_POS_C52:3 TAG	C52:3 TAG	TRUE	NA	NA
REV_POS_C52:3 TAG +NH4	C52:3 TAG +NH4	TRUE	NA	NA
REV_POS_C52:4 TAG	C52:4 TAG	TRUE	NA	NA
REV_POS_C52:4 TAG +NH4	C52:4 TAG +NH4	TRUE	NA	NA
REV_POS_C52:5 TAG	C52:5 TAG	TRUE	NA	NA
REV_POS_C52:5 TAG +NH4	C52:5 TAG +NH4	TRUE	NA	NA
REV_POS_C52:6 TAG	C52:6 TAG	TRUE	NA	NA
REV_POS_C52:6 TAG +NH4	C52:6 TAG +NH4	TRUE	NA	NA
REV_POS_C53:2 TAG	C53:2 TAG	TRUE	NA	NA
REV_POS_C53:2 TAG +NH4	C53:2 TAG +NH4	TRUE	NA	NA
REV_POS_C53:3 TAG	C53:3 TAG	TRUE	NA	NA
REV_POS_C53:3 TAG +NH4	C53:3 TAG +NH4	TRUE	NA	NA
REV_POS_C54:1 TAG	C54:1 TAG	TRUE	NA	NA
REV_POS_C54:2 TAG	C54:2 TAG	TRUE	NA	NA
REV_POS_C54:2 TAG +NH4	C54:2 TAG +NH4	TRUE	NA	NA
REV_POS_C54:3 TAG	C54:3 TAG	TRUE	NA	NA
REV_POS_C54:3 TAG +NH4	C54:3 TAG +NH4	TRUE	NA	NA
REV_POS_C54:4 TAG	C54:4 TAG	TRUE	NA	NA
REV_POS_C54:4 TAG +NH4	C54:4 TAG +NH4	TRUE	NA	NA
REV_POS_C54:5 TAG	C54:5 TAG	TRUE	NA	NA
REV_POS_C54:5 TAG +NH4	C54:5 TAG +NH4	TRUE	NA	NA
REV_POS_C54:6 TAG	C54:6 TAG	TRUE	NA	NA
REV_POS_C54:7 TAG	C54:7 TAG	TRUE	NA	NA
REV_POS_C54:7 TAG +NH4	C54:7 TAG +NH4	TRUE	NA	NA
REV_POS_C54:8 TAG	C54:8 TAG	TRUE	NA	NA
REV_POS_C55:3 TAG	C55:3 TAG	TRUE	NA	NA
REV_POS_C56:1 TAG	C56:1 TAG	TRUE	NA	NA
REV_POS_C56:2 TAG	C56:2 TAG	TRUE	NA	NA
REV_POS_C56:3 TAG	C56:3 TAG	TRUE	NA	NA
REV_POS_C56:4 TAG	C56:4 TAG	TRUE	NA	NA
REV_POS_C56:4 TAG +NH4	C56:4 TAG +NH4	TRUE	NA	NA
REV_POS_C56:5 TAG	C56:5 TAG	TRUE	NA	NA
REV_POS_C56:5 TAG +NH4	C56:5 TAG +NH4	TRUE	NA	NA
REV_POS_C56:6 TAG	C56:6 TAG	TRUE	NA	NA
REV_POS_C56:6 TAG +NH4	C56:6 TAG +NH4	TRUE	NA	NA
HILIC_POS_C6 carnitine	C6 carnitine	TRUE	NA	NA
HILIC_POS_C9 carnitine	C9 carnitine	TRUE	NA	NA
HILIC_POS_cadaverine	cadaverine	TRUE	HMDB0002322	C01672
REV_NEG_caprate	caprate	TRUE	HMDB0000511	C01571
HILIC_NEG_caproate	caproate	FALSE	HMDB0000535	C01585
REV_NEG_caproate	caproate	FALSE	HMDB0000535	C01585
HILIC_NEG_caprylate	caprylate	TRUE	HMDB0000482	C06423
REV_NEG_carboxyibuprofen	carboxyibuprofen	TRUE	HMDB0060564	NA
HILIC_POS_carnitine	carnitine	TRUE	HMDB0000062	C00318
HILIC_POS_carnosine	carnosine	TRUE	HMDB0000033	C00386
REV_NEG_carnosol	carnosol	TRUE	HMDB0002121	C09069
HILIC_POS_cellobiose	cellobiose	TRUE	HMDB0000055	C06422
HILIC_POS_cerulenin	cerulenin	TRUE	HMDB0015168	C12058
REV_NEG_chenodeoxycholate	chenodeoxycholate	TRUE	HMDB0000518	C02528
HILIC_NEG_chenodeoxycholate/deoxycholate	chenodeoxycholate/deoxycholate	FALSE	NA	NA
REV_NEG_cholate	cholate	TRUE	HMDB0000619	C00695
HILIC_POS_choline	choline	TRUE	HMDB0000097	C00114
HILIC_NEG_citrate/isocitrate	citrate/isocitrate	FALSE	NA	NA
HILIC_POS_citrulline	citrulline	FALSE	HMDB0000904	C00327
HILIC_NEG_citrulline	citrulline	FALSE	HMDB0000904	C00327
HILIC_POS_cortexolone/2_1-deoxycortisol	cortexolone/2,1-deoxycortisol	FALSE	NA	NA
HILIC_NEG_corticosterone	corticosterone	TRUE	HMDB0001547	C02140
HILIC_POS_cortisol	cortisol	TRUE	HMDB0000063	C00735
HILIC_POS_cortisone	cortisone	TRUE	HMDB0002802	C00762
HILIC_POS_cotinine	cotinine	TRUE	HMDB0001046	NA
HILIC_POS_creatine	creatine	TRUE	HMDB0000064	C00300
HILIC_POS_creatinine	creatinine	TRUE	HMDB0000562	C00791
REV_NEG_crustecdysone	crustecdysone	TRUE	HMDB0030180	C02633
HILIC_POS_cyclohexylamine	cyclohexylamine	TRUE	HMDB0031404	C00571
HILIC_POS_cytidine	cytidine	FALSE	HMDB0000089	C00475
HILIC_NEG_cytidine	cytidine	FALSE	HMDB0000089	C00475
HILIC_POS_cytosine	cytosine	TRUE	HMDB0000630	C00380
HILIC_NEG_dCMP	dCMP	TRUE	HMDB0001202	C00239
REV_NEG_deoxycholate	deoxycholate	TRUE	HMDB0000626	C04483
HILIC_POS_dimethylglycine	dimethylglycine	TRUE	HMDB0000092	C01026
REV_NEG_dimethylurate	dimethylurate	TRUE	NA	NA
HILIC_POS_DMGV	DMGV	TRUE	HMDB0240212	NA
REV_NEG_docosahexaenoate	docosahexaenoate	TRUE	HMDB0002183	C06429
REV_NEG_docosapentaenoate	docosapentaenoate	TRUE	HMDB0001976	NA
REV_NEG_dodecanedioate	dodecanedioate	TRUE	HMDB0000623	C02678
REV_NEG_dodecanoate	dodecanoate	TRUE	HMDB0000638	C02679
HILIC_POS_DOPA	DOPA	TRUE	HMDB0000609	C00355
HILIC_POS_ectoine	ectoine	TRUE	METPA0797	C06231
REV_NEG_eicosadienoate	eicosadienoate	TRUE	HMDB0005060	C16525
REV_NEG_eicosanedioate	eicosanedioate	TRUE	NA	NA
REV_NEG_eicosapentaenoate	eicosapentaenoate	FALSE	HMDB0001999	C06428
HILIC_NEG_eicosapentaenoate	eicosapentaenoate	FALSE	HMDB0001999	C06428
REV_NEG_eicosatrienoate	eicosatrienoate	TRUE	HMDB0002925	C03242
REV_NEG_eicosenoate	eicosenoate	TRUE	HMDB0002231	C16526
HILIC_NEG_erythronate	erythronate	TRUE	HMDB0000613	NA
REV_NEG_formylmethionine	formylmethionine	TRUE	HMDB0001015	C03145
HILIC_NEG_fructose/glucose/galactose	fructose/glucose/galactose	FALSE	NA	NA
HILIC_NEG_fumarate/maleate	fumarate/maleate	FALSE	NA	NA
HILIC_POS_GABA/alpha-aminoisobutyric acid	GABA/alpha-aminoisobutyric acid	FALSE	NA	NA
REV_NEG_gamma-linolenate	gamma-linolenate	TRUE	HMDB0003073	C06426
HILIC_NEG_gentisate	gentisate	TRUE	HMDB0000152	C00628
HILIC_NEG_glucuronate	glucuronate	TRUE	HMDB0000127	C00191
HILIC_NEG_glutamate	glutamate	FALSE	HMDB0000148	C00025
HILIC_POS_glutamate	glutamate	FALSE	HMDB0000148	C00025
HILIC_POS_glutamine	glutamine	FALSE	HMDB0000641	C00064
HILIC_NEG_glutamine	glutamine	FALSE	HMDB0000641	C00064
HILIC_NEG_glycerate	glycerate	TRUE	HMDB0000139	C00258
HILIC_POS_glycerol	glycerol	TRUE	HMDB0000131	C00116
HILIC_POS_glycine	glycine	TRUE	HMDB0000123	C00037
REV_NEG_glycochenodeoxycholate	glycochenodeoxycholate	TRUE	HMDB0000637	C05466
REV_NEG_glycocholate	glycocholate	TRUE	HMDB0000138	C01921
HILIC_NEG_glycocholate-d4	glycocholate-d4	TRUE	NA	NA
REV_NEG_glycodeoxycholate	glycodeoxycholate	TRUE	HMDB0000631	C05464
HILIC_NEG_glycodeoxycholate/glycochenodeoxycholate	glycodeoxycholate/glycochenodeoxycholate	FALSE	NA	NA
REV_NEG_glycoursodeoxycholate	glycoursodeoxycholate	TRUE	HMDB0000708	NA
HILIC_POS_guanidoacetic acid	guanidoacetic acid	TRUE	HMDB0000128	C00581
HILIC_POS_guanine	guanine	FALSE	HMDB0000132	C00242
HILIC_NEG_guanine	guanine	FALSE	HMDB0000132	C00242
HILIC_POS_guanosine	guanosine	FALSE	HMDB0000133	C00387
HILIC_NEG_guanosine	guanosine	FALSE	HMDB0000133	C00387
REV_NEG_heptadecanoate	heptadecanoate	TRUE	HMDB0002259	NA
REV_NEG_heptanoate	heptanoate	TRUE	HMDB0000666	C17714
REV_NEG_hexadecanedioate	hexadecanedioate	TRUE	HMDB0000672	C19615
HILIC_NEG_hexose monophosphate	hexose monophosphate	TRUE	NA	NA
HILIC_POS_histamine	histamine	TRUE	HMDB0000870	C00388
HILIC_NEG_histidine	histidine	FALSE	HMDB0000177	C00135
HILIC_POS_histidine	histidine	FALSE	HMDB0000177	C00135
HILIC_POS_histidinol	histidinol	TRUE	HMDB0003431	C00860
HILIC_POS_homoserine	homoserine	TRUE	HMDB0000719	C00263
REV_NEG_hydrocinnamate	hydrocinnamate	FALSE	HMDB0000764	C05629
HILIC_NEG_hydrocinnamate	hydrocinnamate	FALSE	HMDB0000764	C05629
REV_NEG_hydroxymyristate	hydroxymyristate	TRUE	NA	NA
HILIC_POS_hydroxyproline	hydroxyproline	TRUE	HMDB0240251	C01015
REV_NEG_hyodeoxycholate/ursodeoxycholate	hyodeoxycholate/ursodeoxycholate	FALSE	NA	NA
HILIC_NEG_hypoxanthine	hypoxanthine	FALSE	HMDB0000157	C00262
HILIC_POS_hypoxanthine	hypoxanthine	FALSE	HMDB0000157	C00262
HILIC_POS_imidazoleacetic acid	imidazoleacetic acid	TRUE	HMDB0002024	C02835
HILIC_NEG_indole-3-propionate	indole-3-propionate	TRUE	HMDB0002302	NA
REV_NEG_indoleacetate	indoleacetate	TRUE	HMDB0000197	C00954
HILIC_NEG_indolelactate	indolelactate	TRUE	HMDB0000671	C02043
HILIC_NEG_inositol	inositol	TRUE	HMDB0000211	C00137
HILIC_POS_isoleucine	isoleucine	TRUE	HMDB0000172	C00407
HILIC_NEG_isovalerate	isovalerate	TRUE	HMDB0000718	C08262
REV_NEG_ketodeoxycholate	ketodeoxycholate	TRUE	NA	NA
HILIC_POS_kynurenic acid	kynurenic acid	TRUE	HMDB0000715	C01717
HILIC_NEG_lactate	lactate	TRUE	HMDB0000190	C00186
