Compound	m.z	Method	High.Confidence.Annotation	Compound.Name	HMDB	KEGG
C8p_QI27820__NA	905.7004	C8-pos	TRUE	NA	NA	NA
C8p_QI28707__NA	964.7807	C8-pos	TRUE	NA	NA	NA
C8p_QI508__NA	214.1217	C8-pos	TRUE	NA	NA	NA
C8p_QI15669__NA	562.8753	C8-pos	TRUE	NA	NA	NA
C8p_QI16146__NA	571.5304	C8-pos	TRUE	NA	NA	NA
C8p_QI20841__NA	662.8528	C8-pos	TRUE	NA	NA	NA
C8p_QI21975__NA	686.6439	C8-pos	TRUE	NA	NA	NA
C8p_QI22824__NA	704.6327	C8-pos	TRUE	NA	NA	NA
C8p_QI23019__NA	709.5892	C8-pos	TRUE	NA	NA	NA
C8p_QI23636__NA	725.5633	C8-pos	TRUE	NA	NA	NA
C8p_QI25762__NA	801.8355	C8-pos	TRUE	NA	NA	NA
C8p_QI27158__NA	869.8231	C8-pos	TRUE	NA	NA	NA
C8p_QI28185__NA	927.7408	C8-pos	TRUE	NA	NA	NA
C8p_QI28400__NA	943.7144	C8-pos	TRUE	NA	NA	NA
C8p_QI2545__NA	301.1407	C8-pos	TRUE	NA	NA	NA
C8p_QI16919__NA	586.0385	C8-pos	TRUE	NA	NA	NA
C8p_QI20624__NA	657.5583	C8-pos	TRUE	NA	NA	NA
C8p_QI21130__NA	668.8695	C8-pos	TRUE	NA	NA	NA
C8p_QI21346__NA	673.533	C8-pos	TRUE	NA	NA	NA
C8p_QI22936__NA	707.573	C8-pos	TRUE	NA	NA	NA
C8p_QI25695__NA	798.8268	C8-pos	TRUE	NA	NA	NA
C8p_QI27177__NA	870.6432	C8-pos	TRUE	NA	NA	NA
C8p_QI28156__NA	925.7798	C8-pos	TRUE	NA	NA	NA
C8p_QI28924__NA	983.6526	C8-pos	TRUE	NA	NA	NA
C8p_QI6000__NA	381.3518	C8-pos	TRUE	NA	NA	NA
C8p_QI14958__NA	549.5173	C8-pos	TRUE	NA	NA	NA
C8p_QI23565__NA	723.5442	C8-pos	TRUE	NA	NA	NA
C8p_QI25601__NA	795.8181	C8-pos	TRUE	NA	NA	NA
C8p_QI26587__NA	839.7065	C8-pos	TRUE	NA	NA	NA
C8p_QI26874__NA	855.6617	C8-pos	TRUE	NA	NA	NA
C8p_QI28510__NA	951.7414	C8-pos	TRUE	NA	NA	NA
C8p_QI18465__NA	613.5892	C8-pos	TRUE	NA	NA	NA
C8p_QI19267__NA	629.5638	C8-pos	TRUE	NA	NA	NA
C8p_QI20352__NA	652.6033	C8-pos	TRUE	NA	NA	NA
C8p_QI25986__NA	810.7539	C8-pos	TRUE	NA	NA	NA
C8p_QI26134__NA	817.6684	C8-pos	TRUE	NA	NA	NA
C8p_QI26837__NA	852.8022	C8-pos	TRUE	NA	NA	NA
C8p_QI27233__NA	873.7314	C8-pos	TRUE	NA	NA	NA
C8p_QI29225__NA	1014.7779	C8-pos	TRUE	NA	NA	NA
C8p_QI660__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI17234__NA	591.608	C8-pos	TRUE	NA	NA	NA
C8p_QI18167__NA	608.6339	C8-pos	TRUE	NA	NA	NA
C8p_QI25436__NA	787.7513	C8-pos	TRUE	NA	NA	NA
C8p_QI26356__NA	828.7819	C8-pos	TRUE	NA	NA	NA
C8p_QI26841__NA	852.8522	C8-pos	TRUE	NA	NA	NA
C8p_QI26911__NA	857.7555	C8-pos	TRUE	NA	NA	NA
C8p_QI28088__NA	920.8262	C8-pos	TRUE	NA	NA	NA
C8p_QI16364__NA	575.5028	C8-pos	TRUE	NA	NA	NA
C8p_QI17668__NA	599.5024	C8-pos	TRUE	NA	NA	NA
C8p_QI26881__NA	855.7435	C8-pos	TRUE	NA	NA	NA
C8p_QI27311__NA	877.6532	C8-pos	TRUE	NA	NA	NA
C8p_QI27474__NA	886.7846	C8-pos	TRUE	NA	NA	NA
C8p_QI27597__NA	893.6988	C8-pos	TRUE	NA	NA	NA
C8p_QI28342__NA	939.6929	C8-pos	TRUE	NA	NA	NA
C8p_QI28416__NA	945.7066	C8-pos	TRUE	NA	NA	NA
C8p_QI29769__NA	1081.6873	C8-pos	TRUE	NA	NA	NA
C8p_QI19574__NA	635.5167	C8-pos	TRUE	NA	NA	NA
C8p_QI26440__NA	832.6252	C8-pos	TRUE	NA	NA	NA
C8p_QI27765__NA	902.8057	C8-pos	TRUE	NA	NA	NA
C8p_QI27960__NA	913.7956	C8-pos	TRUE	NA	NA	NA
C8p_QI28195__NA	928.831	C8-pos	TRUE	NA	NA	NA
C8p_QI29363__NA	1029.8315	C8-pos	TRUE	NA	NA	NA
C8p_QI665__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI22986__NA	708.6652	C8-pos	TRUE	NA	NA	NA
C8p_QI26648__NA	842.7006	C8-pos	TRUE	NA	NA	NA
C8p_QI27034__NA	863.6908	C8-pos	TRUE	NA	NA	NA
C8p_QI27450__NA	885.672	C8-pos	TRUE	NA	NA	NA
C8p_QI27618__NA	894.7336	C8-pos	TRUE	NA	NA	NA
C8p_QI27744__NA	901.6466	C8-pos	TRUE	NA	NA	NA
C8p_QI27802__NA	904.6529	C8-pos	TRUE	NA	NA	NA
C8p_QI27871__NA	908.7492	C8-pos	TRUE	NA	NA	NA
C8p_QI28097__NA	921.743	C8-pos	TRUE	NA	NA	NA
C8p_QI28100__NA	921.7813	C8-pos	TRUE	NA	NA	NA
C8p_QI28669__NA	962.7253	C8-pos	TRUE	NA	NA	NA
C8p_QI16155__NA	571.6978	C8-pos	TRUE	NA	NA	NA
C8p_QI23202__NA	713.62	C8-pos	TRUE	NA	NA	NA
C8p_QI23541__NA	722.6803	C8-pos	TRUE	NA	NA	NA
C8p_QI23818__NA	729.5943	C8-pos	TRUE	NA	NA	NA
C8p_QI26709__NA	846.6479	C8-pos	TRUE	NA	NA	NA
C8p_QI26722__NA	847.6568	C8-pos	TRUE	NA	NA	NA
C8p_QI27011__NA	862.6217	C8-pos	TRUE	NA	NA	NA
C8p_QI27029__NA	863.6308	C8-pos	TRUE	NA	NA	NA
C8p_QI28305__NA	936.7795	C8-pos	TRUE	NA	NA	NA
C8p_QI28511__NA	951.742	C8-pos	TRUE	NA	NA	NA
C8p_QI28728__NA	967.6783	C8-pos	TRUE	NA	NA	NA
C8p_QI28730__NA	967.7143	C8-pos	TRUE	NA	NA	NA
C8p_QI20661__NA	658.6496	C8-pos	TRUE	NA	NA	NA
C8p_QI22571__NA	699.5472	C8-pos	TRUE	NA	NA	NA
C8p_QI25696__NA	798.8268	C8-pos	TRUE	NA	NA	NA
C8p_QI28560__NA	955.7514	C8-pos	TRUE	NA	NA	NA
C8p_QI17355__NA	593.8782	C8-pos	TRUE	NA	NA	NA
C8p_QI20887__NA	663.6049	C8-pos	TRUE	NA	NA	NA
C8p_QI21875__NA	684.5769	C8-pos	TRUE	NA	NA	NA
C8p_QI23106__NA	711.5473	C8-pos	TRUE	NA	NA	NA
C8p_QI23276__NA	715.6938	C8-pos	TRUE	NA	NA	NA
C8p_QI23300__NA	716.6353	C8-pos	TRUE	NA	NA	NA
C8p_QI24949__NA	767.8423	C8-pos	TRUE	NA	NA	NA
C8p_QI28493__NA	950.7952	C8-pos	TRUE	NA	NA	NA
C8p_QI28854__NA	977.7562	C8-pos	TRUE	NA	NA	NA
C8p_QI661__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI2320__NA	294.9197	C8-pos	TRUE	NA	NA	NA
C8p_QI14532__NA	542.1795	C8-pos	TRUE	NA	NA	NA
C8p_QI20990__NA	665.8613	C8-pos	TRUE	NA	NA	NA
C8p_QI21365__NA	673.5909	C8-pos	TRUE	NA	NA	NA
C8p_QI23017__NA	709.5888	C8-pos	TRUE	NA	NA	NA
C8p_QI23384__NA	718.6491	C8-pos	TRUE	NA	NA	NA
C8p_QI23634__NA	725.5629	C8-pos	TRUE	NA	NA	NA
C8p_QI23851__NA	730.8398	C8-pos	TRUE	NA	NA	NA
C8p_QI26659__NA	843.6839	C8-pos	TRUE	NA	NA	NA
C8p_QI27044__NA	863.806	C8-pos	TRUE	NA	NA	NA
C8p_QI27338__NA	878.816	C8-pos	TRUE	NA	NA	NA
C8p_QI27417__NA	883.7688	C8-pos	TRUE	NA	NA	NA
C8p_QI27664__NA	896.7386	C8-pos	TRUE	NA	NA	NA
C8p_QI27865__NA	908.6559	C8-pos	TRUE	NA	NA	NA
C8p_QI28399__NA	943.714	C8-pos	TRUE	NA	NA	NA
C8p_QI28784__NA	972.7999	C8-pos	TRUE	NA	NA	NA
C8p_QI5346__NA	368.3398	C8-pos	TRUE	NA	NA	NA
C8p_QI7431__NA	409.3829	C8-pos	TRUE	NA	NA	NA
C8p_QI20509__NA	655.5795	C8-pos	TRUE	NA	NA	NA
C8p_QI22826__NA	704.6336	C8-pos	TRUE	NA	NA	NA
C8p_QI29276__NA	1021.3024	C8-pos	TRUE	NA	NA	NA
C8p_QI6004__NA	381.352	C8-pos	TRUE	NA	NA	NA
C8p_QI19509__NA	634.6494	C8-pos	TRUE	NA	NA	NA
C8p_QI27381__NA	881.7601	C8-pos	TRUE	NA	NA	NA
C8p_QI27492__NA	887.7428	C8-pos	TRUE	NA	NA	NA
C8p_QI28891__NA	980.2772	C8-pos	TRUE	NA	NA	NA
C8p_QI29558__NA	1055.8481	C8-pos	TRUE	NA	NA	NA
C8p_QI13571__NA	524.0494	C8-pos	TRUE	NA	NA	NA
C8p_QI17801__NA	601.5182	C8-pos	TRUE	NA	NA	NA
C8p_QI20353__NA	652.6041	C8-pos	TRUE	NA	NA	NA
C8p_QI27102__NA	866.8154	C8-pos	TRUE	NA	NA	NA
C8p_QI27199__NA	871.7718	C8-pos	TRUE	NA	NA	NA
C8p_QI27940__NA	912.8005	C8-pos	TRUE	NA	NA	NA
C8p_QI28350__NA	939.8113	C8-pos	TRUE	NA	NA	NA
C8p_QI6765__NA	396.3716	C8-pos	TRUE	NA	NA	NA
C8p_QI17671__NA	599.5029	C8-pos	TRUE	NA	NA	NA
C8p_QI20782__NA	661.5324	C8-pos	TRUE	NA	NA	NA
C8p_QI23942__NA	733.5857	C8-pos	TRUE	NA	NA	NA
C8p_QI26928__NA	858.641	C8-pos	TRUE	NA	NA	NA
C8p_QI27701__NA	898.7115	C8-pos	TRUE	NA	NA	NA
C8p_QI28070__NA	919.7143	C8-pos	TRUE	NA	NA	NA
C8p_QI28173__NA	926.8158	C8-pos	TRUE	NA	NA	NA
C8p_QI28548__NA	954.8482	C8-pos	TRUE	NA	NA	NA
C8p_QI28775__NA	971.728	C8-pos	TRUE	NA	NA	NA
C8p_QI21347__NA	673.5339	C8-pos	TRUE	NA	NA	NA
C8p_QI26118__NA	816.8889	C8-pos	TRUE	NA	NA	NA
C8p_QI17517__NA	596.6339	C8-pos	TRUE	NA	NA	NA
C8p_QI20625__NA	657.559	C8-pos	TRUE	NA	NA	NA
C8p_QI21588__NA	678.618	C8-pos	TRUE	NA	NA	NA
C8p_QI26099__NA	815.7108	C8-pos	TRUE	NA	NA	NA
C8p_QI25988__NA	810.7561	C8-pos	TRUE	NA	NA	NA
C8p_QI670__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI5519__NA	371.3669	C8-pos	TRUE	NA	NA	NA
C8p_QI7549__NA	411.3983	C8-pos	TRUE	NA	NA	NA
C8p_QI16363__NA	575.5025	C8-pos	TRUE	NA	NA	NA
C8p_QI18846__NA	621.5579	C8-pos	TRUE	NA	NA	NA
C8p_QI19678__NA	637.5314	C8-pos	TRUE	NA	NA	NA
C8p_QI25955__NA	809.698	C8-pos	TRUE	NA	NA	NA
C8p_QI26484__NA	834.6398	C8-pos	TRUE	NA	NA	NA
C8p_QI27021__NA	862.7853	C8-pos	TRUE	NA	NA	NA
C8p_QI27151__NA	869.6991	C8-pos	TRUE	NA	NA	NA
C8p_QI13059__NA	514.875	C8-pos	TRUE	NA	NA	NA
C8p_QI27317__NA	877.8051	C8-pos	TRUE	NA	NA	NA
C8p_QI5301__NA	367.336	C8-pos	TRUE	NA	NA	NA
C8p_QI20704__NA	659.5737	C8-pos	TRUE	NA	NA	NA
C8p_QI22764__NA	703.5796	C8-pos	TRUE	NA	NA	NA
C8p_QI24069__NA	737.5628	C8-pos	TRUE	NA	NA	NA
C8p_QI24323__NA	745.6459	C8-pos	TRUE	NA	NA	NA
C8p_QI27475__NA	886.7859	C8-pos	TRUE	NA	NA	NA
C8p_QI27849__NA	907.7163	C8-pos	TRUE	NA	NA	NA
C8p_QI27961__NA	913.8032	C8-pos	TRUE	NA	NA	NA
C8p_QI28256__NA	933.8559	C8-pos	TRUE	NA	NA	NA
C8p_QI20219__NA	649.5917	C8-pos	TRUE	NA	NA	NA
C8p_QI20983__NA	665.6211	C8-pos	TRUE	NA	NA	NA
C8p_QI27560__NA	891.741	C8-pos	TRUE	NA	NA	NA
C8p_QI27585__NA	892.8319	C8-pos	TRUE	NA	NA	NA
C8p_QI27958__NA	913.7636	C8-pos	TRUE	NA	NA	NA
C8p_QI17568__NA	597.8741	C8-pos	TRUE	NA	NA	NA
C8p_QI21854__NA	683.6526	C8-pos	TRUE	NA	NA	NA
C8p_QI23124__NA	711.6833	C8-pos	TRUE	NA	NA	NA
C8p_QI24051__NA	736.8567	C8-pos	TRUE	NA	NA	NA
C8p_QI28418__NA	945.7301	C8-pos	TRUE	NA	NA	NA
C8p_QI28539__NA	954.2325	C8-pos	TRUE	NA	NA	NA
C8p_QI19464__NA	633.5581	C8-pos	TRUE	NA	NA	NA
C8p_QI26471__NA	833.736	C8-pos	TRUE	NA	NA	NA
C8p_QI28549__NA	955.2352	C8-pos	TRUE	NA	NA	NA
C8p_QI20356__NA	652.6387	C8-pos	TRUE	NA	NA	NA
C8p_QI22012__NA	687.5474	C8-pos	TRUE	NA	NA	NA
C8p_QI27422__NA	884.6559	C8-pos	TRUE	NA	NA	NA
C8p_QI27725__NA	900.6293	C8-pos	TRUE	NA	NA	NA
C8p_QI28460__NA	948.8014	C8-pos	TRUE	NA	NA	NA
C8p_QI28535__NA	953.7566	C8-pos	TRUE	NA	NA	NA
C8p_QI28706__NA	964.7804	C8-pos	TRUE	NA	NA	NA
C8p_QI28835__NA	975.8093	C8-pos	TRUE	NA	NA	NA
C8p_QI669__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI5409__NA	369.3514	C8-pos	TRUE	NA	NA	NA
C8p_QI5511__NA	371.3583	C8-pos	TRUE	NA	NA	NA
C8p_QI13871__NA	530.197	C8-pos	TRUE	NA	NA	NA
C8p_QI21691__NA	680.6335	C8-pos	TRUE	NA	NA	NA
C8p_QI21843__NA	683.5735	C8-pos	TRUE	NA	NA	NA
C8p_QI22410__NA	695.6525	C8-pos	TRUE	NA	NA	NA
C8p_QI22572__NA	699.5477	C8-pos	TRUE	NA	NA	NA
C8p_QI26357__NA	828.7826	C8-pos	TRUE	NA	NA	NA
C8p_QI27659__NA	896.6579	C8-pos	TRUE	NA	NA	NA
C8p_QI5911__NA	379.336	C8-pos	TRUE	NA	NA	NA
C8p_QI16140__NA	571.5303	C8-pos	TRUE	NA	NA	NA
C8p_QI20791__NA	661.593	C8-pos	TRUE	NA	NA	NA
C8p_QI21589__NA	678.6185	C8-pos	TRUE	NA	NA	NA
C8p_QI23776__NA	728.5823	C8-pos	TRUE	NA	NA	NA
C8p_QI20139__NA	647.5738	C8-pos	TRUE	NA	NA	NA
C8p_QI28081__NA	920.3111	C8-pos	TRUE	NA	NA	NA
C8p_QI28131__NA	924.6872	C8-pos	TRUE	NA	NA	NA
C8p_QI28705__NA	964.7392	C8-pos	TRUE	NA	NA	NA
C8p_QI17802__NA	601.5183	C8-pos	TRUE	NA	NA	NA
C8p_QI24844__NA	763.6581	C8-pos	TRUE	NA	NA	NA
C8p_QI27250__NA	874.7121	C8-pos	TRUE	NA	NA	NA
C8p_QI27513__NA	888.8009	C8-pos	TRUE	NA	NA	NA
C8p_QI27644__NA	895.7144	C8-pos	TRUE	NA	NA	NA
C8p_QI28222__NA	930.8477	C8-pos	TRUE	NA	NA	NA
C8p_QI28445__NA	947.7272	C8-pos	TRUE	NA	NA	NA
C8p_QI29238__NA	1015.7156	C8-pos	TRUE	NA	NA	NA
C8p_QI16365__NA	575.5029	C8-pos	TRUE	NA	NA	NA
C8p_QI16476__NA	577.518	C8-pos	TRUE	NA	NA	NA
C8p_QI25119__NA	774.8469	C8-pos	TRUE	NA	NA	NA
C8p_QI26912__NA	857.7583	C8-pos	TRUE	NA	NA	NA
C8p_QI27348__NA	879.6712	C8-pos	TRUE	NA	NA	NA
C8p_QI28000__NA	915.8121	C8-pos	TRUE	NA	NA	NA
C8p_QI28372__NA	941.7107	C8-pos	TRUE	NA	NA	NA
C8p_QI24950__NA	767.8423	C8-pos	TRUE	NA	NA	NA
C8p_QI27877__NA	908.8082	C8-pos	TRUE	NA	NA	NA
C8p_QI28033__NA	917.7557	C8-pos	TRUE	NA	NA	NA
C8p_QI28691__NA	963.7818	C8-pos	TRUE	NA	NA	NA
C8p_QI28748__NA	969.6934	C8-pos	TRUE	NA	NA	NA
C8p_QI29104__NA	1002.7874	C8-pos	TRUE	NA	NA	NA
C8p_QI8191__NA	423.3985	C8-pos	TRUE	NA	NA	NA
C8p_QI20980__NA	665.6192	C8-pos	TRUE	NA	NA	NA
C8p_QI21131__NA	668.8697	C8-pos	TRUE	NA	NA	NA
C8p_QI24035__NA	736.5456	C8-pos	TRUE	NA	NA	NA
C8p_QI24057__NA	737.0473	C8-pos	TRUE	NA	NA	NA
C8p_QI24277__NA	744.5323	C8-pos	TRUE	NA	NA	NA
C8p_QI25698__NA	798.8272	C8-pos	TRUE	NA	NA	NA
C8p_QI28534__NA	953.7564	C8-pos	TRUE	NA	NA	NA
C8p_QI28947__NA	985.6687	C8-pos	TRUE	NA	NA	NA
C8p_QI685__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI16143__NA	571.5303	C8-pos	TRUE	NA	NA	NA
C8p_QI16923__NA	586.2059	C8-pos	TRUE	NA	NA	NA
C8p_QI23385__NA	718.6491	C8-pos	TRUE	NA	NA	NA
C8p_QI23574__NA	723.6048	C8-pos	TRUE	NA	NA	NA
C8p_QI24132__NA	739.5784	C8-pos	TRUE	NA	NA	NA
C8p_QI24228__NA	742.6464	C8-pos	TRUE	NA	NA	NA
C8p_QI24357__NA	747.6028	C8-pos	TRUE	NA	NA	NA
C8p_QI25764__NA	801.8358	C8-pos	TRUE	NA	NA	NA
C8p_QI26839__NA	852.8041	C8-pos	TRUE	NA	NA	NA
C8p_QI28715__NA	965.7455	C8-pos	TRUE	NA	NA	NA
C8p_QI15090__NA	551.5046	C8-pos	TRUE	NA	NA	NA
C8p_QI20454__NA	654.6196	C8-pos	TRUE	NA	NA	NA
C8p_QI20706__NA	659.5745	C8-pos	TRUE	NA	NA	NA
C8p_QI23752__NA	727.8312	C8-pos	TRUE	NA	NA	NA
C8p_QI23855__NA	730.8401	C8-pos	TRUE	NA	NA	NA
C8p_QI24055__NA	736.857	C8-pos	TRUE	NA	NA	NA
C8p_QI24834__NA	763.576	C8-pos	TRUE	NA	NA	NA
C8p_QI25597__NA	795.7175	C8-pos	TRUE	NA	NA	NA
C8p_QI26561__NA	838.7877	C8-pos	TRUE	NA	NA	NA
C8p_QI26696__NA	845.6997	C8-pos	TRUE	NA	NA	NA
C8p_QI27898__NA	910.6708	C8-pos	TRUE	NA	NA	NA
C8p_QI28632__NA	959.8772	C8-pos	TRUE	NA	NA	NA
C8p_QI28884__NA	979.7701	C8-pos	TRUE	NA	NA	NA
C8p_QI29465__NA	1042.8027	C8-pos	TRUE	NA	NA	NA
C8p_QI525__NA	214.1223	C8-pos	TRUE	NA	NA	NA
C8p_QI675__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI6718__NA	395.367	C8-pos	TRUE	NA	NA	NA
C8p_QI6821__NA	397.3827	C8-pos	TRUE	NA	NA	NA
C8p_QI8648__NA	432.8961	C8-pos	TRUE	NA	NA	NA
C8p_QI19585__NA	635.5735	C8-pos	TRUE	NA	NA	NA
C8p_QI20316__NA	651.5474	C8-pos	TRUE	NA	NA	NA
C8p_QI20843__NA	662.8531	C8-pos	TRUE	NA	NA	NA
C8p_QI23188__NA	713.5628	C8-pos	TRUE	NA	NA	NA
C8p_QI23274__NA	715.6361	C8-pos	TRUE	NA	NA	NA
C8p_QI23888__NA	731.6111	C8-pos	TRUE	NA	NA	NA
C8p_QI26260__NA	823.7134	C8-pos	TRUE	NA	NA	NA
C8p_QI26741__NA	848.6558	C8-pos	TRUE	NA	NA	NA
C8p_QI27415__NA	883.7163	C8-pos	TRUE	NA	NA	NA
C8p_QI28134__NA	924.8005	C8-pos	TRUE	NA	NA	NA
C8p_QI28208__NA	929.7556	C8-pos	TRUE	NA	NA	NA
C8p_QI28417__NA	945.7298	C8-pos	TRUE	NA	NA	NA
C8p_QI28563__NA	955.7701	C8-pos	TRUE	NA	NA	NA
C8p_QI29080__NA	999.7765	C8-pos	TRUE	NA	NA	NA
C8p_QI18266__NA	610.6498	C8-pos	TRUE	NA	NA	NA
C8p_QI22104__NA	689.5622	C8-pos	TRUE	NA	NA	NA
C8p_QI23068__NA	710.6802	C8-pos	TRUE	NA	NA	NA
C8p_QI458__NA	214.1203	C8-pos	TRUE	NA	NA	NA
C8p_QI5518__NA	371.3669	C8-pos	TRUE	NA	NA	NA
C8p_QI21117__NA	668.6334	C8-pos	TRUE	NA	NA	NA
C8p_QI21364__NA	673.5886	C8-pos	TRUE	NA	NA	NA
C8p_QI28495__NA	950.8151	C8-pos	TRUE	NA	NA	NA
C8p_QI27819__NA	905.6835	C8-pos	TRUE	NA	NA	NA
C8p_QI17804__NA	601.5186	C8-pos	TRUE	NA	NA	NA
C8p_QI17906__NA	603.5338	C8-pos	TRUE	NA	NA	NA
C8p_QI24465__NA	750.0551	C8-pos	TRUE	NA	NA	NA
C8p_QI27457__NA	885.7837	C8-pos	TRUE	NA	NA	NA
C8p_QI27730__NA	900.7276	C8-pos	TRUE	NA	NA	NA
C8p_QI27974__NA	914.8175	C8-pos	TRUE	NA	NA	NA
C8p_QI28096__NA	921.7299	C8-pos	TRUE	NA	NA	NA
C8p_QI28196__NA	928.8319	C8-pos	TRUE	NA	NA	NA
C8p_QI28380__NA	941.8278	C8-pos	TRUE	NA	NA	NA
C8p_QI28587__NA	956.8644	C8-pos	TRUE	NA	NA	NA
C8p_QI28799__NA	973.7427	C8-pos	TRUE	NA	NA	NA
C8p_QI677__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI7430__NA	409.3828	C8-pos	TRUE	NA	NA	NA
C8p_QI22912__NA	706.6491	C8-pos	TRUE	NA	NA	NA
C8p_QI23114__NA	711.6045	C8-pos	TRUE	NA	NA	NA
C8p_QI23468__NA	720.6644	C8-pos	TRUE	NA	NA	NA
C8p_QI24435__NA	749.5534	C8-pos	TRUE	NA	NA	NA
C8p_QI26083__NA	815.1496	C8-pos	TRUE	NA	NA	NA
C8p_QI6003__NA	381.3519	C8-pos	TRUE	NA	NA	NA
C8p_QI7545__NA	411.3899	C8-pos	TRUE	NA	NA	NA
C8p_QI19877__NA	641.6203	C8-pos	TRUE	NA	NA	NA
C8p_QI23729__NA	727.5785	C8-pos	TRUE	NA	NA	NA
C8p_QI28132__NA	924.6888	C8-pos	TRUE	NA	NA	NA
C8p_QI16479__NA	577.519	C8-pos	TRUE	NA	NA	NA
C8p_QI27068__NA	864.8028	C8-pos	TRUE	NA	NA	NA
C8p_QI28817__NA	974.8108	C8-pos	TRUE	NA	NA	NA
C8p_QI27196__NA	871.7149	C8-pos	TRUE	NA	NA	NA
C8p_QI27624__NA	894.792	C8-pos	TRUE	NA	NA	NA
C8p_QI29677__NA	1068.8213	C8-pos	TRUE	NA	NA	NA
C8p_QI6117__NA	383.367	C8-pos	TRUE	NA	NA	NA
C8p_QI21692__NA	680.6338	C8-pos	TRUE	NA	NA	NA
C8p_QI21927__NA	685.5889	C8-pos	TRUE	NA	NA	NA
C8p_QI22675__NA	701.563	C8-pos	TRUE	NA	NA	NA
C8p_QI26448__NA	832.7269	C8-pos	TRUE	NA	NA	NA
C8p_QI26748__NA	848.749	C8-pos	TRUE	NA	NA	NA
C8p_QI27150__NA	869.6779	C8-pos	TRUE	NA	NA	NA
C8p_QI27645__NA	895.716	C8-pos	TRUE	NA	NA	NA
C8p_QI27700__NA	898.6717	C8-pos	TRUE	NA	NA	NA
C8p_QI27891__NA	909.7321	C8-pos	TRUE	NA	NA	NA
C8p_QI29660__NA	1066.7874	C8-pos	TRUE	NA	NA	NA
C8p_QI12328__NA	500.9063	C8-pos	TRUE	NA	NA	NA
C8p_QI19625__NA	636.6651	C8-pos	TRUE	NA	NA	NA
C8p_QI20556__NA	656.6339	C8-pos	TRUE	NA	NA	NA
C8p_QI20876__NA	663.5478	C8-pos	TRUE	NA	NA	NA
C8p_QI24815__NA	763.0629	C8-pos	TRUE	NA	NA	NA
C8p_QI26856__NA	853.7035	C8-pos	TRUE	NA	NA	NA
C8p_QI26972__NA	860.6556	C8-pos	TRUE	NA	NA	NA
C8p_QI28174__NA	926.8166	C8-pos	TRUE	NA	NA	NA
C8p_QI678__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI2608__NA	302.9423	C8-pos	TRUE	NA	NA	NA
C8p_QI16137__NA	571.5302	C8-pos	TRUE	NA	NA	NA
C8p_QI22759__NA	703.5773	C8-pos	TRUE	NA	NA	NA
C8p_QI24804__NA	762.561	C8-pos	TRUE	NA	NA	NA
C8p_QI27628__NA	894.8455	C8-pos	TRUE	NA	NA	NA
C8p_QI28234__NA	931.7711	C8-pos	TRUE	NA	NA	NA
C8p_QI28446__NA	947.746	C8-pos	TRUE	NA	NA	NA
C8p_QI439__NA	214.0591	C8-pos	TRUE	NA	NA	NA
C8p_QI667__NA	216.9226	C8-pos	TRUE	NA	NA	NA
C8p_QI21132__NA	668.8698	C8-pos	TRUE	NA	NA	NA
C8p_QI22114__NA	689.6123	C8-pos	TRUE	NA	NA	NA
C8p_QI22627__NA	700.8439	C8-pos	TRUE	NA	NA	NA
C8p_QI23189__NA	713.5628	C8-pos	TRUE	NA	NA	NA
C8p_QI24133__NA	739.5786	C8-pos	TRUE	NA	NA	NA
C8p_QI27627__NA	894.7931	C8-pos	TRUE	NA	NA	NA
C8p_QI27729__NA	900.6878	C8-pos	TRUE	NA	NA	NA
C8p_QI15280__NA	555.3542	C8-pos	TRUE	NA	NA	NA
C8p_QI20829__NA	662.5925	C8-pos	TRUE	NA	NA	NA
C8p_QI24017__NA	736.0396	C8-pos	TRUE	NA	NA	NA
C8p_QI24052__NA	736.8568	C8-pos	TRUE	NA	NA	NA
C8p_QI24951__NA	767.8424	C8-pos	TRUE	NA	NA	NA
C8p_QI25766__NA	801.8359	C8-pos	TRUE	NA	NA	NA
C8p_QI27098__NA	866.8136	C8-pos	TRUE	NA	NA	NA
C8p_QI27793__NA	903.7401	C8-pos	TRUE	NA	NA	NA
C8p_QI28564__NA	955.7713	C8-pos	TRUE	NA	NA	NA
C8p_QI28966__NA	987.8893	C8-pos	TRUE	NA	NA	NA
C8p_QI29334__NA	1025.9439	C8-pos	TRUE	NA	NA	NA
C8p_QI15408__NA	557.8634	C8-pos	TRUE	NA	NA	NA
C8p_QI19123__NA	626.8492	C8-pos	TRUE	NA	NA	NA
C8p_QI20991__NA	665.8613	C8-pos	TRUE	NA	NA	NA
C8p_QI23751__NA	727.8312	C8-pos	TRUE	NA	NA	NA
C8p_QI26556__NA	838.6804	C8-pos	TRUE	NA	NA	NA
C8p_QI26582__NA	839.6878	C8-pos	TRUE	NA	NA	NA
