Compound	m.z	Method	High.Confidence.Annotation	Compound.Name	HMDB	KEGG
C8p_QI57__C18:0 SM	731.6058	C8-pos	TRUE	SM(d18:1/18:0)	HMDB0001348	C00550
HILn_TF7__diaminopimelate	189.0881	HILIC-neg	TRUE	meso-2,6-Diaminoheptanedioate	HMDB0001370	C00666
C18n_QI26__alpha-linolenate	277.2175	C18-neg	TRUE	Alpha-Linolenic acid	HMDB0001388	C06427
HILp_QI3716__hydroxycotinine	193.0978	HILIC-pos	TRUE	trans-3-Hydroxycotinine	HMDB0001390	NA
HILp_QI755__niacinamide	123.0559	HILIC-pos	TRUE	Niacinamide	HMDB0001406	C00153
HILp_QI163__putrescine	89.1082	HILIC-pos	TRUE	Putrescine	HMDB0001414	C00134
HILp_TF45__agmatine	131.1296	HILIC-pos	TRUE	Agmatine	HMDB0001432	C00179
HILn_QI91__nicotinate	122.0248	HILIC-neg	TRUE	Nicotinic acid	HMDB0001488	C00253
C18n_QI79__alpha-CEHC	277.1442	C18-neg	TRUE	alpha-CEHC	HMDB0001518	NA
HILp_TF48__ADMA/SDMA	203.1507	HILIC-pos	FALSE	Asymmetric dimethylarginine	HMDB0001539	C03626
HILn_QI44__corticosterone	345.2079	HILIC-neg	TRUE	Corticosterone	HMDB0001547	C02140
HILp_QI8513__1-methylguanosine	298.1144	HILIC-pos	TRUE	1-Methylguanosine	HMDB0001563	C04545
HILp_QI3770__caffeine	195.0882	HILIC-pos	TRUE	Caffeine	HMDB0001847	C07481
HILp_QI1989__acetaminophen	152.0709	HILIC-pos	TRUE	Acetaminophen	HMDB0001859	C06804
HILp_QI2638__3-methylxanthine	167.0567	HILIC-pos	TRUE	3-Methylxanthine	HMDB0001886	C16357
C18n_TF5__theophylline	179.0574	C18-neg	TRUE	Theophylline	HMDB0001889	C07130
HILn_QI108__salicylate	137.0245	HILIC-neg	TRUE	Salicylic acid	HMDB0001895	C00805
C18n_QI66__salicylate	137.0233	C18-neg	TRUE	Salicylic acid	HMDB0001895	C00805
HILp_TF28__aminoisobutyric acid/GABA	104.0713	HILIC-pos	FALSE	2-Aminoisobutyric acid	HMDB0001906	C03665
HILp_QI1048__metformin	130.1093	HILIC-pos	TRUE	1,1-Dimethylbiguanide	HMDB0001921	C07151
