Species	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10369.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10395.Gastrectomy	10742.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0	0.01003	0.37773	0.24636	0.12609	0.61448	0	0	0.78875	0	0	0	0	0	0.00476	7.27391	0	2.47832	0	3.93717	0.00102	1.83264	0	6.30721	0.01186	1.48953	2.06754	2.6598	0	1.15427	4.10585	1.8077	0.81558	0.00721	0.10433	0.0507	0	6.39343	0	1.81252	4.36359	0	1.39512	0.90699	0.05451	0.04238	0.01985	0.61516	3.94746	0.88699	0	5.43513	0.85749	0	0.01251	0	8.50112	0.0425	0	2.11948	3.17833	7.52203	0	2.72809	1.12584	0	0	2.72954	2.46754	0.93516	0.18505	0.25465	0	4.02367	0	1.73228	2.78084	0.1796	0	0	0	0	0.01879	0.62271	2.68391	0	0	0.17342	0.22288	0	0.28977	1.72855	0	11.49821	0.72255	0.42573
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis	0	0	0.0719	0	0	0.00348	0	0	0.01023	0.00105	0	0	0	0	0	1.72037	0	0.00452	0	0	0.0041	0	0	0.07089	0.00616	8.4e-4	0.01324	0	0	0.01378	0	0	0.0015	0.37306	0	0.0132	0.0979	0.01826	0	0	0.00422	0	0.0023	0	0	0.14892	0	0	0.02812	0.03115	0.07651	0.38466	0	0	0	0	0.07108	0	0	4.2e-4	0	0.21553	0	0.07409	0	0	0	0	0.00735	0.00141	0.02732	0.08007	0	0	0	0.02644	0.02289	0	0	0	0	0	0	0	0.01437	0.0013	0	0.02853	0	0	0	0.00759	0	0.20686	0.03115	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0	0	0.07397	0	0.2023	1.04251	0	0.00613	0.79617	1.08971	0.05459	0	0	0.59924	0.00226	0	0	0.25684	0	0	0.17732	0.33718	0	1.25209	0.01993	0.14021	0.28732	1.06529	0	0	0	1.58357	0.39872	0	0	0.27125	0.15195	1.27564	0	0	0.83412	0	0.15946	0.92538	0.24312	0.00755	9e-5	0.6984	2.37538	0.17487	1.1208	0	0.10847	0	0	0	0.1877	0	0	0.3712	0	0.42846	0	0.39805	0.14954	0	0.12068	0.8412	1.41239	0.36949	0.01497	0.18766	0	0.70403	0	1.33397	0.46405	0.01447	0	0	0	0	0.46362	0.09823	0.4451	0.02543	0	0.42392	0.72693	0	0.36601	0.61668	0	4.14547	0.14063	0.62977
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11	0	0	0	0	0	0	0	0	0	0	0.09391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28567	0	0	0	0	0	0.61095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31294	0	0	0	0	0	0.79964	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_tannerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0	0	0	0	0	0	2e-4	0	0	0.00406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16553	0.30682	0	0	0	0	0.03019	0	0.00531	0.01744	0	4.8e-4	0	0	0	0.02087	0	0	0	0	0.00133	0	0	0	0.09042	0.13014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00336	0	0.00164	0	0.12971	0	0	0	0	6.19611	0.00353	0	0	0.02654	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus|s__Anaerococcus_vaginalis	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae	0.0039	0	0.00209	1.11077	0	0	0	0	0	0.05869	0	0	0.21094	0	0	0	0	0	0.01178	0	0	0.05611	0.05214	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71864	0	0	0	0	0	0	0	0	0	0	0	0	0.10885	0	0	0	0	0.01725	0.01292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0.06683	0.04177	0.01689	0	0	0.01672	0.33326	0	0	0.25799	0.01067	0	0	0	0	0.03913	0.021329999999999998	0.03315	0.78117	0.06003	0	0	0	0	0	0.04743	0.06076	0.00703	0.00574	0.00715	0.02592	0.0031	0.00309	0	0	0.00438	0.00335	0.12755	0	0	0.00628	0.02345	0	0.01752	0.01067	0	0	0.00206	0.01957	0	0.0162	0	0.01974	0	0	0	0	0.00282	0.00724	0	3.7e-4	0	0.0046	7.3e-4	0.00293	0.01227	0	0.0082	4.9e-4	0.0358	0.00447	0	0.0442	0	0.00246	0.01749	0	0.05791	0	0	0.04218	0.02183	0	0.2025	0.01183	0	0	0	0.01072	0.00504	0.01437	0.02097	0.26725	0.00938	0.23144	0.4866
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	0	0	0.0089	0	0	0	0	0	0.00483	0.01767	0	0	0	0	0	0.00433	0	0.00108	0	0.82778	0	0	0	0.05564	0.01028	0	0	0.0162	0	0	0	0	0	0.20958	0	0	0	0.04467	0.00284	0	0.03757	0	0.01481	0.0109	0	0.02549	0	0	0.02053	0	0.00492	2.6e-4	5e-4	0	0.00842	0	0.0056	0	0.0248	0.00222	0	0.00542	0	0.00855	0	0	0.04504	0.0729	0.03541	0.00146	0	0	0	0.02356	0	0	0.01974	0	0	0	0	0	0	0	0.01611	0	0	0.00806	0.00649	0	0	1.6e-4	0	0.06052	0	0
